Car Name,Distance,Owner,Fuel,Drive,Car_Age,Selling_Price,Location
Maruti Swift,52382,1,PETROL,Manual,8,270400,Karnataka
Maruti Swift,90804,1,PETROL,Manual,7,345400,Karnataka
Maruti Swift,10887,1,PETROL,Manual,9,270000,Karnataka
Maruti Swift,74268,1,PETROL,Manual,13,159200,Karnataka
Maruti Swift,45513,1,PETROL,Manual,10,221600,Karnataka
Maruti Swift,57265,1,PETROL,Manual,6,353650,Karnataka
Maruti Swift,58131,1,PETROL,Manual,10,221200,Karnataka
Maruti Swift,56317,1,PETROL,Manual,14,157600,Karnataka
Maruti Swift,85038,1,PETROL,Manual,10,224800,Karnataka
Maruti Swift,62217,1,PETROL,Manual,12,188800,Karnataka
Maruti Swift,42762,1,PETROL,Manual,13,194800,Karnataka
Maruti Swift,50109,1,PETROL,Manual,11,228800,Karnataka
Maruti Swift,47296,1,PETROL,Manual,6,390500,Karnataka
Maruti Swift,71318,1,PETROL,Manual,11,190000,Karnataka
Maruti Swift,92529,1,PETROL,Manual,12,174400,Karnataka
Maruti Swift,40408,1,PETROL,Manual,11,187200,Karnataka
Maruti Swift,55529,1,PETROL,Manual,13,206000,Karnataka
Maruti Swift,52568,1,PETROL,Manual,11,210800,Karnataka
Maruti Swift,36789,1,PETROL,Manual,7,361350,Karnataka
Maruti Swift,20248,1,PETROL,Manual,10,237600,Karnataka
Maruti Swift,48628,1,PETROL,Manual,4,502600,Karnataka
Maruti Swift,40337,1,PETROL,Manual,11,239600,Karnataka
Maruti Swift,68306,1,PETROL,Manual,11,213600,Karnataka
Maruti Swift,63782,1,PETROL,Manual,11,206000,Karnataka
Maruti Swift,7244,1,PETROL,Manual,4,558600,Karnataka
Maruti Swift,45246,1,PETROL,Manual,11,206000,Karnataka
Maruti Swift,35225,1,PETROL,Manual,11,215200,Karnataka
Maruti Swift,84469,1,PETROL,Manual,9,237200,Karnataka
Maruti Swift,89200,1,PETROL,Manual,10,191600,Karnataka
Maruti Swift,69124,1,PETROL,Manual,12,195200,Karnataka
Maruti Swift,20846,1,PETROL,Manual,3,626450,Karnataka
Maruti Swift,79876,1,PETROL,Manual,13,172800,Karnataka
Maruti Swift,81712,1,PETROL,Manual,12,196400,Karnataka
Maruti Swift,9085,1,PETROL,Manual,5,486500,Karnataka
Maruti Swift,57604,1,PETROL,Manual,10,225200,Karnataka
Maruti Swift,43271,1,PETROL,Manual,6,333850,Karnataka
Maruti Swift,28548,1,PETROL,Manual,7,378400,Karnataka
Maruti Swift,39369,1,PETROL,Manual,12,200400,Karnataka
Maruti Swift,41107,1,PETROL,Manual,9,229200,Karnataka
Maruti Swift,91087,1,PETROL,Manual,10,220400,Karnataka
Maruti Swift,53101,1,PETROL,Manual,12,174400,Karnataka
Maruti Swift,24700,1,PETROL,Manual,11,226000,Karnataka
Maruti Swift,49570,1,PETROL,Manual,11,213320,Karnataka
Maruti Swift,29002,1,PETROL,Manual,12,203600,Karnataka
Maruti Swift,30426,1,PETROL,Manual,7,337150,Karnataka
Maruti Swift,77646,1,PETROL,Manual,10,221600,Karnataka
Maruti Swift,72494,1,PETROL,Manual,6,333300,Karnataka
Maruti Swift,76485,1,PETROL,Manual,10,222000,Karnataka
Maruti Swift,44437,1,PETROL,Manual,12,186000,Karnataka
Maruti Swift,67245,1,PETROL,Manual,10,233200,Karnataka
Maruti Swift,71383,1,PETROL,Manual,10,229200,Karnataka
Maruti Swift,29767,1,PETROL,Manual,7,392700,Karnataka
Maruti Swift,57779,1,PETROL,Manual,12,178400,Karnataka
Maruti Swift,23815,1,PETROL,Manual,13,196000,Karnataka
Maruti Swift,35250,1,PETROL,Manual,10,232400,Karnataka
Maruti Swift,55705,1,PETROL,Manual,6,374000,Karnataka
Maruti Swift,39100,1,PETROL,Manual,10,235600,Karnataka
Maruti Swift,60020,1,PETROL,Manual,14,166000,Karnataka
Maruti Swift,79068,1,PETROL,Manual,11,206000,Karnataka
Maruti Swift,77028,1,PETROL,Manual,12,198000,Karnataka
Maruti Swift,35195,1,PETROL,Manual,13,178400,Karnataka
Maruti Swift,70694,1,PETROL,Manual,12,199600,Karnataka
Maruti Swift,51489,1,PETROL,Manual,11,206000,Karnataka
Maruti Swift,91933,1,PETROL,Manual,10,228400,Karnataka
Maruti Swift,58358,1,PETROL,Manual,11,199600,Karnataka
Maruti Swift,66346,1,PETROL,Manual,13,186000,Karnataka
Maruti Swift,30426,1,PETROL,Manual,12,204000,Karnataka
Maruti Swift,62029,1,PETROL,Manual,11,206400,Karnataka
Maruti Swift,21347,1,PETROL,Manual,7,307450,Delhi
Maruti Swift,24119,1,PETROL,Manual,13,125600,Delhi
Maruti Swift,62617,1,PETROL,Manual,10,146800,Delhi
Maruti Swift,7159,1,PETROL,Manual,4,419300,Delhi
Maruti Swift,70706,1,PETROL,Manual,10,149600,Delhi
Maruti Swift,36750,1,PETROL,Manual,12,122800,Delhi
Maruti Swift,77023,1,PETROL,Manual,13,108800,Delhi
Maruti Swift,11316,1,PETROL,Manual,8,188000,Delhi
Maruti Swift,18055,1,PETROL,Manual,9,195200,Delhi
Maruti Swift,57941,1,PETROL,Manual,7,305250,Delhi
Maruti Swift,37136,1,PETROL,Manual,12,130400,Delhi
Maruti Swift,78709,1,PETROL,Manual,10,157200,Delhi
Maruti Swift,55483,1,PETROL,Manual,7,272250,Delhi
Maruti Swift,78858,1,PETROL,Manual,14,87600,Delhi
Maruti Swift,66354,1,PETROL,Manual,15,71200,Delhi
Maruti Swift,52944,1,PETROL,Manual,13,116000,Delhi
Maruti Swift,12527,1,PETROL,Manual,9,184400,Delhi
